O,D,trips
3,3980,105.270124138204
3,7387,101.177823840691
3,7401,51.7904466268918
3,7417,43.1851370919258
3,7449,31.4085045618225
3,7458,26.8878717634322
3,7504,50.1005444042674
3,7510,55.8120960906588
3,7516,46.2482118086276
3,7521,47.9995156216628
3,7635,17.6232306234895
3,7646,31.0557958768018
3,7709,71.6947712542214
3,7728,85.6283688725762
3,7854,37.7412664199521
3,7910,37.3168329282933
5,1630,67.1814049532587
5,5054,88.0368808759511
6,1695,91.076841710322
10,5321,104.387640679673
11,1133,55.9842356641679
12,1164,121.548928206547
12,1196,198.572053711016
12,1207,207.30633587459
18,4129,88.0041021729343
18,4192,83.64718123482
18,4649,62.5167554401212
18,5321,322.915151519418
18,5552,93.9823450357057
18,8259,613.12393949042
21,6831,38.6276753993248
22,3658,61.5814682345988
22,3660,48.4309570309683
22,3853,338.254763955774
22,5617,328.607252799273
22,6468,599.4123949713702
22,6534,137.5099373051736
22,6712,40.7114550167531
22,6727,106.4541334102476
23,163,72.2704158100052
23,4486,240.575020961042
23,6579,34.326390380545
24,332,55.6558142041482
24,4083,89.6346394677258
24,4672,76.450686950743
24,7015,73.5186952969672
24,7417,438.29335476876906
27,3083,151.553474364647
27,4265,559.689333530232
27,5019,110.578350085626
27,6059,106.945934341949
163,23,72.2704158100052
332,24,55.6558142041482
1282,4,37.3265619378086
1630,5,67.1814049532587
1695,6,91.076841710322
3116,3,293.2239627841396
3660,22,48.4309570309683
3662,24,214.6668010250745
3911,27,227.091116657113
3961,22,74.814183247135
4082,3,561.899403838506
4315,27,108.827615175195
4435,23,112.047712087296
4486,23,240.575020961042
4493,18,423.864745227158
4493,23,827.640145721668
4612,5,334.3951432162248
4849,12,117.7868218639848
4896,27,122.746920860868
4982,24,467.780654822704
5019,21,91.5710432585783
5141,3,409.4703608537275
5321,18,161.457575759709
5583,3,459.0130805702639
5771,23,207.259407871182
6062,3,222.367963455228
6468,22,599.4123949713702
6712,22,40.7114550167531
6727,22,35.4847111367492
6831,24,48.2476724359236
6864,23,304.9898637501736
6910,24,342.5498097949604
7366,3,77.3955370323554
7401,3,51.7904466268918
7417,3,21.5925685459629
7449,3,31.4085045618225
7458,3,53.7757435268644
7475,3,46.2482118086276
7476,3,28.6028201767649
7492,12,24.8735999285083
7504,3,50.1005444042674
7510,3,55.8120960906588
7516,3,46.2482118086276
7521,3,47.9995156216628
7635,3,17.6232306234895
7646,3,31.0557958768018
7658,3,34.2313107867286
7662,3,35.4520852939934
7702,12,32.3160430033546
7709,3,71.6947712542214
7732,4,300.39556854384296
7761,3,34.2984598239344
7854,3,37.7412664199521
7956,3,55.591084686635
8259,18,613.12393949042
8281,18,195.3704862776456
8349,3,99.3409015947148
